Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type
18364,2018,09/03/2019,North Haven,67 MONTOWESE AVE,148960.0,202000.0,0.7374,Single Family,Single Family
21218,2021,04/25/2022,Bethel,526 COPPER SQUARE DRIVE,212730.0,382000.0,0.5568,Residential,Condo
80487,2008,07/31/2009,Fairfield,245 UNQUOWA ROAD #109,206220.0,325000.0,0.634523077,Condo,Condo
70264,2007,08/15/2008,Darien,248 NOROTON AVE,423430.0,1137100.0,0.3723771,Single Family,Single Family
200945,2020,05/27/2021,New Haven,86 OAK RDIGE DR # 38,26670.0,75000.0,0.3556,Residential,Condo
10173,2001,08/21/2002,Bethany,29 MESA DR,54640.0,153750.0,0.355382114,,
120814,2012,06/12/2013,Norwalk,31 STUART AVE B16,149940.0,135000.0,1.110666667,Condo,Condo
130146,2013,08/05/2014,Oxford,30 PUNKUP RD,228600.0,329000.0,0.694832827,Single Family,Single Family
201358,2020,07/06/2021,Milford,75 AUDUBON CLOSE,163310.0,365000.0,0.4474,Residential,Condo
19138,2019,11/04/2019,Hartford,14 ESSEX ST #005E,15680.0,61450.0,0.2552,Condo,Condo
42511,2004,07/21/2005,Waterbury,108 OVERTON AVE,87850.0,200000.0,0.43925,,
20039,2002,03/03/2003,Chester,34 KINGS HWY,95000.0,217500.0,0.436781609,,
160495,2016,08/07/2017,Southbury,341 A HERITAGE VILLAGE,102870.0,170000.0,0.605117647,Condo,Condo
140373,2014,09/04/2015,East Lyme,11 BRIGHTWATER RD,251230.0,368000.0,0.682690217,Single Family,Single Family
70209,2007,12/24/2007,Hartford,126-128 VINE ST,59363.0,230000.0,0.2581,Two Family,Two Family
160394,2016,03/15/2017,Bristol,89 JUDD ST,116690.0,100000.0,1.1669,Two Family,Two Family
200188,2020,01/19/2021,New Canaan,24 DOUGLAS RD,1309140.0,2115000.0,0.6189,Residential,Single Family
18069,2018,12/17/2018,Montville,320 CHESTERFIELD RD,159430.0,240000.0,0.6642,Single Family,Single Family
40041,2004,10/20/2004,Wethersfield,334 SILAS DEANE HWY,125900.0,175000.0,0.719428571,,
15000075,2015,08/24/2016,Sterling,73 CHURCH ST,89860.0,39000.0,2.304102564,Two Family,Two Family
90094,2009,12/01/2009,Shelton,27 SPRUCE HILL RD,270130.0,291000.0,0.928281787,Single Family,Single Family
110008,2011,10/26/2011,North Canaan,395 ASHLEY FALLS RD,145380.0,26250.0,5.538285714,Single Family,Single Family
20127,2002,03/03/2003,Old Saybrook,8 PRATT RD,107300.0,335000.0,0.320298507,,
180003,2018,10/01/2018,Fairfield,205 AUTUMN RIDGE ROAD,302470.0,325000.0,0.9306,Single Family,Single Family
100023,2010,11/05/2010,Vernon,565-1B5 TALCOTTVILLE RD,54400.0,77000.0,0.706493506,Condo,Condo
20376,2002,03/10/2003,Shelton,34 WOODLAND PARK,55650.0,120000.0,0.46375,,
60209,2006,09/27/2007,Haddam,113 SILVERSPRING DR,75770.0,135000.0,0.561259259,,
120218,2012,01/31/2013,Meriden,65 MELVILLE AVE,97160.0,159800.0,0.608010013,Single Family,Single Family
40618,2004,02/28/2005,Meriden,96 CURTIS ST,115010.0,302000.0,0.380827815,,
70270,2007,12/19/2007,Norwalk,166 ROWAYTON AVE #2,1123920.0,1845000.0,0.609170732,Condo,Condo
170177,2017,03/20/2018,East Lyme,8 HONEYSUCKLE LANE,201530.0,315000.0,0.6397,Single Family,Single Family
210512,2021,03/01/2022,Hamden,43 DESSA D,182140.0,365000.0,0.499,Residential,Single Family
110498,2011,03/01/2012,Waterbury,177 BEECHER AVE,102580.0,35000.0,2.930857143,Single Family,Single Family
124654,2012,02/20/2013,Manchester,330 OAK STREET,100900.0,123000.0,0.820325203,Single Family,Single Family
15277,2015,07/18/2016,Darien,128 HOLMES AVENUE,691880.0,1190000.0,0.581411765,Single Family,Single Family
70380,2007,06/03/2008,Wallingford,19 NORTH ST,145320.0,276611.0,0.525358717,Two Family,Two Family
70117,2007,12/19/2007,Trumbull,196 STERLING RD,257800.0,95000.0,2.713684211,Single Family,Single Family
2020193,2020,01/27/2021,Wilton,38 TIMBER TOP TR,433930.0,720000.0,0.6026,Residential,Single Family
30234,2003,07/30/2004,Old Lyme,2 DEER RDG,166000.0,449900.0,0.368970882,,
160270,2016,09/18/2017,New Fairfield,48 FLEETWOOD DR,238200.0,325000.0,0.732923077,Single Family,Single Family
51996,2005,07/07/2006,Stamford,75 SAWMILL RD,351050.0,1025000.0,0.342487805,,
200459,2020,02/09/2021,Meriden,148 AVERY AVE,145320.0,320000.0,0.454125,Residential,Single Family
30328,2003,02/03/2004,Shelton,15 HUNTINGTON AVE,104160.0,215000.0,0.484465116,,
40966,2004,06/02/2005,Bristol,466 HILL ST,85880.0,389900.0,0.220261606,,
20236,2002,09/03/2003,Weston,114 OLD REDDING RD,385070.0,815000.0,0.472478528,,
150177,2015,03/11/2016,South Windsor,21-5 ARTHUR DR,89000.0,90000.0,0.988888889,Condo,Condo
50499,2005,03/31/2006,Norwich,130 VERGASON AVE,201000.0,389000.0,0.516709512,,
40919,2004,06/30/2005,Hamden,20 ELIOT DRIVE,81830.0,201000.0,0.407114428,,
15260,2015,07/26/2016,Monroe,139 PEPPER ST,217600.0,169050.0,1.287193138,Single Family,Single Family
15015,2015,01/11/2016,Norfolk,188 OLD GOSHEN RD.,219960.0,270000.0,0.814666667,Single Family,Single Family
162031,2016,09/20/2017,Stamford,1611 WASHINGTON BOULEVARD # 16,192820.0,364000.0,0.529725275,Condo,Condo
60115,2006,06/05/2007,Woodstock,1511 ROUTE 197,144200.0,225000.0,0.640888889,Single Family,Single Family
20647,2020,04/09/2021,Watertown,104 CUTLER ST,122300.0,112000.0,1.0919,Residential,Single Family
8017,2008,11/03/2008,North Haven,18 PARK RD,158760.0,242500.0,0.654680412,Single Family,Single Family
160058,2016,10/18/2016,Norwalk,259 ELY AVE,134670.0,900000.0,0.149633333,,
90170,2009,11/16/2009,Waterbury,113 EAST FARM ST,87930.0,25000.0,3.5172,Three Family,Three Family
40146,2004,08/29/2005,Prospect,5 MAPLE DR,118230.0,285000.0,0.414842105,,
11352,2001,08/21/2002,Stratford,230 HOLLISTER ST,72580.0,70000.0,1.036857143,,
150190,2015,05/13/2016,Plainville,50 PIERCE ST C-40,70210.0,85000.0,0.826,Condo,Condo
40493,2004,09/26/2005,Darien,69 RELIHAN RD,444150.0,10000.0,44.415,,
40206,2004,04/04/2005,Rocky Hill,64 GLASTONBURY AVE,70490.0,150000.0,0.469933333,,
201030,2020,03/29/2021,Norwalk,15 PINE POINT RD UNIT 340,46900.0,95000.0,0.4936,Residential,Condo
120016,2012,05/30/2013,Hampton,101 PARKER RD,119990.0,110000.0,1.090818182,Single Family,Single Family
200666,2020,04/14/2021,New Haven,423 SMITH AV,62650.0,204000.0,0.3071,Residential,Single Family
140723,2014,04/01/2015,Waterbury,65 DALTON AVE,65610.0,69000.0,0.950869565,Single Family,Single Family
200220,2020,02/02/2021,Farmington,1660-8 FARMINGTON AV,55430.0,93000.0,0.596,Residential,Condo
150174,2015,12/16/2015,New Haven,291 EDWARDS STREET,545860.0,565000.0,0.966123894,Single Family,Single Family
2020256,2020,06/25/2021,Ansonia,9 EAGLE ST,83100.0,257000.0,0.3233,Residential,Two Family
210798,2021,05/06/2022,Southington,16 SALEM WAY,163290.0,358000.0,0.4561,Residential,Single Family
110024,2011,11/04/2011,Cheshire,1708 BYAM RD,99220.0,20201.0,4.911638038,Single Family,Single Family
20498,2002,09/26/2003,Rocky Hill,11 MURPHY DR,84250.0,115000.0,0.732608696,,
150541,2015,09/21/2016,Branford,17 WAVERLY RD,145100.0,250000.0,0.5804,Single Family,Single Family
200579,2020,09/03/2021,Windsor,29 BECKER CIR,97440.0,110000.0,0.8858,Residential,Single Family
200732,2020,05/03/2021,West Hartford,28 JUNIPER LANE,296590.0,701000.0,0.423,Residential,Single Family
160962,2016,06/13/2017,Waterbury,84 BLUEBERRY HILL RD,117220.0,189900.0,0.617272249,Single Family,Single Family
30399,2003,01/28/2004,Greenwich,3 HILL RD,1189790.0,700000.0,1.6997,,
130319,2013,05/12/2014,Shelton,47 ORONOQUE TRAIL,165970.0,280000.0,0.59275,Single Family,Single Family
150137,2015,03/17/2016,Bloomfield,15 SPRING HILL LN,160020.0,239500.0,0.668141962,Single Family,Single Family
51113,2005,07/28/2006,West Hartford,18 BRAINTREE DR,207820.0,602500.0,0.344929461,,
160201,2016,03/31/2017,Westport,119 OLD RD,650300.0,1072500.0,0.606340326,Single Family,Single Family
167461,2016,07/13/2017,Bridgeport,1150 HOWARD AVE,124810.0,280000.0,0.44575,Three Family,Three Family
90257,2009,02/08/2010,Manchester,244-F OAKLAND ST,141700.0,166500.0,0.851051051,Condo,Condo
50545,2005,01/09/2006,Norwalk,57 CLINTON AVE,279930.0,530450.0,0.527721746,,
21452,2002,12/23/2002,Hartford,38 LORRAINE ST,5390.0,4000.0,1.3475,,
40176,2004,10/18/2004,Bridgeport,202-204 SHERIDAN ST,118931.0,289000.0,0.411525952,,
40228,2004,04/21/2005,Cromwell,13 WINCHESTER WAY,263940.0,467500.0,0.56457754,,
31095,2003,03/04/2004,Stamford,26 MAPLEWOOD PL,149870.0,320000.0,0.46834375,,
151510,2015,09/27/2016,Waterbury,55 MEDIA AVE,83460.0,150000.0,0.5564,Single Family,Single Family
30008,2003,10/24/2003,Woodbridge,15 FORD RD,139650.0,227000.0,0.615198238,,
40182,2004,04/12/2005,Wilton,20 SUGARBUSH CT,399770.0,595000.0,0.671882353,,
60207,2006,05/14/2007,Berlin,462 ALLING ST,336700.0,520000.0,0.6475,,
90006,2009,10/06/2009,Montville,10 CAROLINA DR #29,92480.0,97500.0,0.948512821,Condo,Condo
180050,2018,10/18/2018,West Hartford,55 WALTER AVENUE,147070.0,231000.0,0.6366,Single Family,Single Family
200595,2020,12/15/2020,Norwalk,17 WILLOW ST,304300.0,450000.0,0.6762,Residential,Single Family
160181,2016,02/13/2017,Trumbull,24 WILDROSE LN,524790.0,650000.0,0.807369231,Single Family,Single Family
900701,2009,07/28/2010,Bristol,272 SUNNYDALE AVE,188720.0,236500.0,0.797970402,Single Family,Single Family
60656,2006,04/27/2007,New Britain,37 TRINITY ST,77140.0,250000.0,0.30856,Three Family,Three Family
80446,2008,02/05/2009,Waterbury,48 IVES ST,118040.0,21500.0,5.490232558,Three Family,Three Family
91289,2009,07/27/2010,Bridgeport,900 PEARL HARBOR ST,64670.0,79806.0,0.810340075,Single Family,Single Family
40266,2004,11/09/2004,Norwalk,15 MORTON ST,155330.0,71250.0,2.180070175,,
200418,2020,01/26/2021,Meriden,312 BROAD ST,156310.0,270000.0,0.5789,Residential,Three Family
20110,2002,12/16/2002,Seymour,32 BROOKFIELD RD,176540.0,405000.0,0.435901235,,
10389,2001,08/21/2002,Killingly,620 N MAIN ST,75720.0,169000.0,0.448047337,,
60211,2006,07/09/2007,Mansfield,26 RIVERVIEW RD,103110.0,218000.0,0.472981651,Single Family,Single Family
60114,2006,10/13/2006,Bridgeport,48 VIRGINIA AVE,69901.0,159000.0,0.439628931,Condo,Condo
20200582,2020,02/18/2021,Stratford,164 RYAN AVENUE,104040.0,178000.0,0.5844,Residential,Single Family
180237,2018,12/31/2018,Hamden,65 LYNMOOR PL,101080.0,168000.0,0.6016,Single Family,Single Family
140413,2014,01/09/2015,Waterbury,72 DALLAS AVE #14,29243.0,7500.0,3.899066667,Condo,Condo
111081,2011,05/31/2012,Stratford,160 CAMBRIDGE ST,185990.0,260000.0,0.715346154,Single Family,Single Family
80615,2008,07/29/2009,West Hartford,11 TROTWOOD DR,242300.0,329000.0,0.736474164,Single Family,Single Family
30152,2003,04/26/2004,North Branford,123 MILL RD,55300.0,105000.0,0.526666667,,
180068,2018,01/29/2019,Putnam,43 NICHOLS ST,87000.0,167000.0,0.520958084,Single Family,Single Family
90787,2009,09/02/2010,Fairfield,33 HOWARD STREET,367570.0,412500.0,0.891078788,Single Family,Single Family
50037,2005,02/01/2006,Easton,5 POND RD,204410.0,365000.0,0.560027397,,
20575,2002,08/08/2003,Windsor,87 TIMOTHY TER,95340.0,220000.0,0.433363636,,
70138,2007,11/20/2007,Meriden,1604 WINDING BROOK,139700.0,197000.0,0.709137056,Condo,Condo
40103,2004,07/01/2005,Goshen,LYMAN LN,40250.0,295000.0,0.136440678,,
16034,2016,12/29/2016,New Hartford,69/85 BRUNING ROAD,700070.0,650000.0,1.077030769,Single Family,Single Family
200135,2020,12/15/2020,Vernon,11 HAMMOND ST,101660.0,165500.0,0.6142,Residential,Two Family
110022,2011,10/25/2011,South Windsor,601 DZEN WAY,266950.0,365000.0,0.731369863,Single Family,Single Family
33993,2003,07/30/2004,New Haven,31 LINES ST,72800.0,145000.0,0.502068966,,
170467,2017,04/23/2018,West Hartford,36 ROBIN ROAD #101,135450.0,205000.0,0.6607,Condo,Condo
90255,2009,02/09/2010,Fairfield,129 HILLSIDE ROAD,558810.0,740000.0,0.755148649,,
17890,2017,09/24/2018,Hartford,44 EAST BURNHAM ST,31605.0,111000.0,0.28472973,Single Family,Single Family
40351,2004,08/15/2005,Seymour,22 PATRICK DR,242760.0,495000.0,0.490424242,,
210709,2021,01/06/2022,Waterbury,63 HAWTHRONE AVE,96320.0,300000.0,0.321,Residential,Three Family
70248,2007,07/02/2008,East Hampton,19 FOREST GLEN DR,97830.0,252400.0,0.387599049,Condo,Condo
30291,2003,07/20/2004,Ansonia,85 JEWETT ST,79300.0,179000.0,0.44301676,,
170040,2017,11/29/2017,Oxford,83 BOWERS HILL RD,232900.0,365000.0,0.638082192,Single Family,Single Family
50315,2005,02/13/2006,Glastonbury,226 MANCHESTER RD,151300.0,285000.0,0.530877193,,
8620,2008,08/12/2009,Meriden,302-304 COOK AVE,188840.0,176000.0,1.072954545,Three Family,Three Family
210078,2021,03/01/2022,Old Lyme,4 MEETING HOUSELA,432600.0,912500.0,0.474,Residential,Single Family
130175,2013,12/10/2013,Fairfield,3473 REDDING ROAD,451570.0,714000.0,0.63245098,Single Family,Single Family
210046,2021,10/20/2021,South Windsor,238 GRAHAM RD,148300.0,320000.0,0.4634,Residential,Single Family
11524,2001,05/20/2002,Stamford,1 STRAWBERRY HL,125790.0,375000.0,0.33544,,
40553,2004,12/23/2004,Norwalk,22 LAKEVIEW DR,215040.0,385000.0,0.558545455,,
30130,2003,11/07/2003,Greenwich,39 BIRCH LN,769510.0,1280000.0,0.601179688,,
180614,2018,04/30/2019,Bristol,204 COUNTRY LN,139160.0,259000.0,0.5372,Single Family,Single Family
100731,2010,09/27/2011,Danbury,38 PADANARAM AV #22,135200.0,119500.0,1.131380753,Condo,Condo
120019,2012,02/14/2013,Bolton,11 ELIZABETH RD,261130.0,350000.0,0.746085714,Single Family,Single Family
150250,2015,06/06/2016,New London,62 MONTAUK AVE,87850.0,74000.0,1.187162162,Three Family,Three Family
160136,2016,11/10/2016,Danbury,11 RICHTER DR,272900.0,447000.0,0.610514541,Single Family,Single Family
31012,2003,08/31/2004,East Hartford,91 ARBUTUS ST,67750.0,142500.0,0.475438596,,
31377,2003,08/10/2004,Bristol,78 JEROME AVE,79050.0,168400.0,0.469418052,,
2001790,2020,06/10/2021,Stamford,33 FRISBIE STREET,277460.0,453000.0,0.6124,Residential,Single Family
40107,2004,01/31/2005,Ellington,26 HIGHLAND AVE,178670.0,395000.0,0.452329114,,
200290,2020,02/18/2021,Groton,115 ELDERKIN AVE,108710.0,280000.0,0.38825,Residential,Single Family
70138,2007,12/07/2007,West Haven,11 WHITNEY LN,143780.0,255000.0,0.563843137,Single Family,Single Family
90609,2009,09/30/2010,Middletown,89 BYSTREK DR,264280.0,386000.0,0.684663212,Single Family,Single Family
11172,2011,05/14/2012,Wethersfield,128 HIGHLAND ST,74400.0,180000.0,0.413333333,,
180060,2018,11/05/2018,Stonington,362 FARMHOLME RD,338300.0,106248.0,3.184,Single Family,Single Family
50674,2005,05/01/2006,Stratford,BREAKERS LN BS2,26600.0,40000.0,0.665,,
110290,2011,03/27/2012,Hamden,69 BRADLEY AVE,117740.0,183000.0,0.643387978,Single Family,Single Family
11015,2011,10/11/2011,Southbury,417 LAURELWOOD LANE,440590.0,545000.0,0.808422018,Single Family,Single Family
130114,2013,06/03/2014,Tolland,16FFARMBROOK DRIVE,243300.0,354000.0,0.687288136,Single Family,Single Family
160213,2016,06/16/2017,Berlin,100 RONAL DRIVE,127400.0,240000.0,0.530833333,Single Family,Single Family
800587,2008,06/02/2009,West Haven,66 TERRACE AVE,111930.0,65000.0,1.722,Single Family,Single Family
20076,2020,11/09/2020,Darien,15 CASEMENT ST,908040.0,1449000.0,0.6266,Residential,Single Family
181131,2018,08/19/2019,Stratford,10 SHORELINE DR,139230.0,340000.0,0.4095,Condo,Condo
130348,2013,04/16/2014,Hamden,33 BEECHWOOD AVE,117040.0,90000.0,1.300444444,Single Family,Single Family
173260,2017,09/11/2018,Shelton,3 POPLAR DRIVE,213080.0,240000.0,0.8878,Single Family,Single Family
200187,2020,01/15/2021,New Canaan,40 PARK PL,616630.0,900000.0,0.6851,Residential,Single Family
200325,2020,05/12/2021,East Lyme,215 MAIN ST,881090.0,35000.0,25.174,Commercial,
50235,2005,04/10/2006,East Lyme,97 W MAIN ST 68,103390.0,283000.0,0.365335689,,
181894,2018,07/02/2019,Waterbury,278 LAKESIDE BLVD EAST,83350.0,120000.0,0.6945,Single Family,Single Family
210057,2021,12/06/2021,Weston,9 TREADWELL LANE,386830.0,570000.0,0.6786,Residential,Single Family
50208,2005,07/11/2006,East Windsor,WELLS RD,131850.0,90000.0,1.465,,
31490,2003,07/30/2004,Hartford,16 LINCOLN ST,45780.0,132000.0,0.346818182,,
210383,2021,11/18/2021,Waterbury,71 BRONX AVE,53270.0,135000.0,0.3945,Residential,Single Family
51361,2005,06/30/2006,Hartford,37 AIDEN ST UT 37D,316540.0,305900.0,1.034782609,,
210119,2021,11/12/2021,Wallingford,4 APPLE ST,140900.0,255000.0,0.5525,Residential,Single Family
60103,2006,01/04/2007,Avon,11 FAR HLS DR,178590.0,700000.0,0.255128571,,
40086,2004,04/06/2005,Haddam,197 SALMON RVR RD,38180.0,3561.0,10.72170739,,
40033,2004,10/04/2004,Norwalk,8 TAYLOR AVE,140280.0,227000.0,0.617973568,,
60193,2006,10/30/2006,Waterbury,WOLCOTT ST,89740.0,180000.0,0.498555556,,
60078,2006,06/04/2007,Woodbridge,9 TALLWOOD RD,863660.0,825000.0,1.046860606,Single Family,Single Family
60031,2006,08/13/2007,Hartland,105 WESTWOODS RD,182550.0,280400.0,0.651034237,Single Family,Single Family
50127,2005,08/01/2006,Woodbridge,25 MANILA AVE,162960.0,325000.0,0.501415385,,
70023,2007,10/31/2007,Windsor Locks,6 FERNWOOD DR,127100.0,195000.0,0.651794872,Single Family,Single Family
800007,2008,03/19/2009,Roxbury,29 APPLE RIDGE,379560.0,299900.0,1.265621874,Single Family,Single Family
180084,2018,04/09/2019,Middlebury,268 OLD WATERTOWN RD,268900.0,361000.0,0.7448,Single Family,Single Family
40375,2004,08/19/2005,Wilton,107 WILTON CREST,123900.0,230000.0,0.538695652,,
200139,2020,02/24/2021,Coventry,BREAD + MILK ST,7000.0,130000.0,0.0538,Vacant Land,
60051,2006,11/17/2006,Rocky Hill,132 WESTMEADOW RD,152800.0,285000.0,0.536140351,Single Family,Single Family
17634,2017,06/27/2018,Hartford,63 CLEVELAND AV,41475.0,90000.0,0.4608,Single Family,Single Family
61631,2006,06/21/2007,Waterbury,41 DARLING ST,63700.0,153000.0,0.416339869,Single Family,Single Family
20489,2002,03/14/2003,Greenwich,1465 E PUTNAM AVE UT 413,129290.0,255000.0,0.507019608,,
130052,2013,09/09/2014,Sterling,MARGARET HENRY RD,47030.0,146500.0,0.321023891,,
180170,2018,07/16/2019,Prospect,158 COOK RD,134050.0,165000.0,0.8124,Single Family,Single Family
150838,2015,08/18/2016,New Britain,307 FARMINGTON AVE,152810.0,100000.0,1.5281,Two Family,Two Family
210447,2021,03/10/2022,Torrington,7 PULASKI ST,79920.0,178000.0,0.4489,Residential,Two Family
30149,2003,12/10/2003,Trumbull,59 REGENCY CIR UT 36,243670.0,483710.0,0.503752248,,
130136,2013,12/03/2013,Southington,564 SOUTH FARMS CT,148640.0,237500.0,0.625852632,Condo,Condo
130117,2013,05/30/2014,East Windsor,257-02 SOUTH MAIN ST,6510.0,5300.0,1.228301887,Single Family,Single Family
70237,2007,02/25/2008,Groton,562 LONG HILL RD,105070.0,150000.0,0.700466667,Single Family,Single Family
70940,2007,08/25/2008,West Hartford,30 SCHOOLHOUSE DR #202,0.0,269507.0,0.0,Condo,Condo
50452,2005,12/09/2005,Stamford,60 LAWN AVE 33,102900.0,350000.0,0.294,,
50285,2005,08/15/2006,Canton,72-74 TORRINGTON AVE,145740.0,72773.0,2.002665824,,
20291,2002,06/18/2003,Brookfield,16 BEVERLY DR,166270.0,330000.0,0.503848485,,
2000457,2020,06/22/2021,Wethersfield,620 NOTT ST,133690.0,205000.0,0.6521,Residential,Single Family
201400,2020,08/24/2021,Danbury,19 JAMES ST,216500.0,470000.0,0.4606,Residential,Single Family
10556,2001,09/30/2002,Waterford,803 VAUXHALL ST EXT,168520.0,420000.0,0.401238095,,
30047,2003,01/07/2004,Somers,304 MOUNTAIN RD,5250.0,85000.0,0.061764706,,
21860,2002,05/06/2003,Bridgeport,113-117 ASH ST,72310.0,162750.0,0.444301075,,
40445,2004,01/28/2005,West Hartford,68 CUMBERLAND RD,129800.0,275000.0,0.472,,
160221,2016,12/12/2016,Hamden,311 FOREST ST,175490.0,278500.0,0.630125673,Single Family,Single Family
10188,2001,11/27/2001,West Haven,27 WINDSOCK RD,76790.0,150000.0,0.511933333,,
2121334,2021,09/13/2022,Ansonia,98 HIGH ST,125700.0,359900.0,0.3492,Residential,Three Family
17075,2017,12/06/2017,North Haven,40 MEADOW BROOK RD,237230.0,369000.0,0.642899729,Single Family,Single Family
200529,2020,04/05/2021,Middletown,38 EAGLE HOLLOW DR,214640.0,330000.0,0.6504,Residential,Single Family
100052,2010,12/21/2010,Guilford,109 BRIARWOOD DR,292980.0,279000.0,1.050107527,Single Family,Single Family
40775,2004,08/22/2005,Glastonbury,202 PAXTON WAY,105700.0,756431.0,0.139735151,,
60371,2006,06/04/2007,Farmington,5 HAROLD RD,111970.0,380000.0,0.294657895,Single Family,Single Family
140528,2014,05/22/2015,Fairfield,174 ARBOR DRIVE,351050.0,530000.0,0.662358491,Single Family,Single Family
160443,2016,05/11/2017,Southington,58 SOUTH END RD,154030.0,20000.0,7.7015,Single Family,Single Family
60068,2006,02/01/2007,Canton,105 BAHRE COR RD,266520.0,450000.0,0.592266667,Single Family,Single Family
40503,2004,01/24/2005,New Britain,410 FARMINGTON AVE 6 0,63490.0,136000.0,0.466838235,,
50053,2005,02/17/2006,Bethany,62 SARGENT DR,237040.0,0.0,0.0,,
20327,2002,06/09/2003,Cheshire,139 CONTOUR DR,101790.0,185000.0,0.550216216,,
21088,2002,08/15/2003,Hamden,130 WELTON ST,181440.0,340000.0,0.533647059,,
131219,2013,08/12/2014,Waterbury,2735 EAST MAIN ST,76650.0,27250.0,2.812844037,Single Family,Single Family
14138,2014,02/26/2015,Farmington,12 HEMLOCK NOTCH,220420.0,324000.0,0.680308642,Single Family,Single Family
51118,2005,06/30/2006,Meriden,617 E MAIN ST,69720.0,162500.0,0.429046154,,
90168,2009,11/20/2009,New Haven,157 EXCHANGE ST,124460.0,159000.0,0.782767296,Single Family,Single Family
170281,2017,09/18/2018,Suffield,1345 RIVER BLVD,269220.0,390000.0,0.690307692,Single Family,Single Family
19153,2019,05/11/2020,Colchester,455 PARUM RD,177600.0,276950.0,0.6413,Single Family,Single Family
130479,2013,07/29/2014,Westport,7 STONY POINT RD,3291900.0,2800000.0,1.175678571,Single Family,Single Family
130670,2013,06/20/2014,Greenwich,54 GLENVILLE ROAD,1205260.0,2260000.0,0.533300885,Single Family,Single Family
60068,2006,01/31/2007,Thompson,WILSONVILLE RD LT A,58100.0,3666.0,15.84833606,,
20187,2002,04/02/2003,Colchester,DEEP RIVER RD,3860.0,110000.0,0.035090909,,
1500425,2015,08/23/2016,East Haven,75 REDWOOD DR #1005,101720.0,140000.0,0.726571429,Condo,Condo
50809,2005,05/01/2006,New Britain,20 SCHULTZ ST,77350.0,168100.0,0.460142772,,
140004,2014,10/15/2014,Brooklyn,164 GORMAN RD,56800.0,81000.0,0.701234568,,
20996,2002,07/28/2003,Hamden,129 WAKEFIELD ST,115430.0,274000.0,0.421277372,,
70467,2007,05/30/2008,Southington,191 OLD TURNPIKE RD,111650.0,290000.0,0.385,Single Family,Single Family
140120,2014,06/01/2015,Winchester,81 HINSDALE AVE,115200.0,195000.0,0.590769231,Single Family,Single Family
1800228,2018,02/13/2019,New Milford,1 BUCKBOARD LN,216720.0,317500.0,0.6825,Single Family,Single Family
70001,2007,10/01/2007,Groton,9 CHASE OAKS CT #4,86380.0,135000.0,0.639851852,Condo,Condo
150167,2015,06/16/2016,Wolcott,20 WOLF HILL RD #2-C,112640.0,170000.0,0.662588235,Condo,Condo
10314,2001,07/01/2002,Monroe,162 PEPPER ST,89950.0,143323.0,0.627603385,,
160331,2016,03/15/2017,Middletown,1640 BARTHOLOMEW RD,188490.0,230000.0,0.819521739,Single Family,Single Family
100099,2010,03/24/2011,East Lyme,5 CHERRY BLOSSOM LN,247450.0,258000.0,0.959108527,Condo,Condo
80082,2008,02/03/2009,Ridgefield,79 COOPER RD,359640.0,370000.0,0.972,Single Family,Single Family
130108,2013,11/27/2013,Hamden,187 COLONY ST,142870.0,205000.0,0.696926829,Single Family,Single Family
210965,2021,06/27/2022,West Hartford,1 KING PHILIP DRIVE #304,164990.0,285000.0,0.5789,Residential,Condo
21425,2021,06/06/2022,Newtown,4 GREAT RING ROAD,256430.0,675000.0,0.3798,Residential,Single Family
130475,2013,07/01/2014,Manchester,119 VALLEY VIEW ROAD,194400.0,284900.0,0.682344682,Single Family,Single Family
140245,2014,08/24/2015,Windham,225 LEWISTON AVE,109490.0,150750.0,0.726301824,Single Family,Single Family
10047,2010,12/16/2010,Darien,12 CROSS ROAD,1549380.0,1700000.0,0.9114,Single Family,Single Family
160253,2016,11/17/2016,Bridgeport,663 BISHOP AVE,83470.0,134000.0,0.622910448,Single Family,Single Family
2000380,2020,11/17/2020,Stamford,46 POND VIEW LANE,942870.0,1425000.0,0.6616,Residential,Single Family
100243,2010,04/26/2011,Norwich,9 COMMODORE ST,167000.0,200000.0,0.835,Single Family,Single Family
200153,2020,07/07/2021,Hebron,22 TANNERY HILL LANE,210130.0,406000.0,0.5175,Residential,Single Family
170374,2017,05/07/2018,Enfield,65 BELMONT AVE,101930.0,150000.0,0.6795,Single Family,Single Family
70422,2007,08/18/2008,Windsor,277 KINGS LANDING,123480.0,230000.0,0.536869565,Condo,Condo
21165,2021,06/08/2022,East Haddam,131 LONGWOOD DR,122710.0,264321.0,0.4642,Residential,Single Family
100095,2010,08/22/2011,Woodbury,239 MAIN ST SOUTH,349910.0,307000.0,1.139771987,Single Family,Single Family
40772,2004,07/01/2005,Torrington,19 ROCK CRK LN,144600.0,255000.0,0.567058824,,
170415,2017,07/31/2018,Vernon,242-101 TALCOTTVILLE RD,90900.0,124000.0,0.733,Condo,Condo
130058,2013,06/17/2014,Thomaston,385 WALNUT HILL RD,89810.0,124284.0,0.722619163,Condo,Condo
200039,2020,10/13/2020,Manchester,25 PROCTOR ROAD,91200.0,214900.0,0.4243,Residential,Single Family
160908,2016,09/12/2017,Killingly,70 MASON HILL RD,92330.0,165000.0,0.559575758,Single Family,Single Family
