Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type
180162,2018,01/09/2019,Groton,651 GROTON LONG POINT RD,142310.0,175000.0,0.8132,Single Family,Single Family
50195,2005,08/25/2006,Old Lyme,72 & 75 SHORE DR,266710.0,630000.0,0.423349206,,
180722,2018,05/13/2019,Danbury,55 MILL PLAIN RD #4-4,132900.0,224000.0,0.5933,Condo,Condo
40623,2004,04/21/2005,Norwich,40 CURTIS ST,114000.0,175000.0,0.651428571,,
50330,2005,05/18/2006,Cheshire,28 IVES HL RD,109480.0,207500.0,0.527614458,,
2100607,2021,08/08/2022,New Milford,57 BIG BEAR HILL RD,66090.0,375000.0,0.1762,Residential,Single Family
40197,2004,04/19/2005,East Windsor,3 JUNIPER CT,0.0,80000.0,0.0,,
120005,2012,10/16/2012,Essex,50 MAIN STREET  CTBK,301900.0,300000.0,1.006333333,,
20494,2002,02/07/2003,Meriden,123 LINSLEY AVE,82670.0,128000.0,0.645859375,,
100067,2010,12/30/2010,New Canaan,199 MAIN STREET,1599360.0,300000.0,5.3312,Single Family,Single Family
140021,2014,12/03/2014,Goshen,163 BARTHOLOMEW HILL ROAD,279710.0,337500.0,0.82877037,Single Family,Single Family
180098,2018,11/09/2018,Torrington,51 BROOKSIDE AVE,63630.0,72000.0,0.8837,Single Family,Single Family
40395,2004,08/02/2005,Windsor,258 KENSWICK LN,15750.0,388814.0,0.040507801,,
170650,2017,08/16/2018,Norwich,20 GIFFORD ST,97400.0,113000.0,0.8619,Single Family,Single Family
20064,2002,10/18/2002,West Hartford,59 LEMAY ST,124150.0,322000.0,0.385559006,,
140156,2014,08/04/2015,Winchester,95 STANTON AVE,83720.0,65000.0,1.288,Single Family,Single Family
120608,2012,06/06/2013,New Haven,320 QUINNPIAC AVENUE,1320340.0,2180000.0,0.60566055,,
120174,2012,07/15/2013,Windham,65 HEWITT ST,106320.0,129000.0,0.824186047,Single Family,Single Family
70201,2007,01/24/2008,Groton,368 MERIDIAN ST EXT #43,147980.0,218900.0,0.676016446,Condo,Condo
140793,2014,09/04/2015,New Haven,215 BARNES AVENUE #215,53900.0,55000.0,0.98,Condo,Condo
39152,2003,01/29/2004,Brookfield,14 PATRICIA LN,244210.0,182500.0,1.338136986,,
130260,2013,09/03/2014,Bethel,12 SPRING HILL LANE,249840.0,399000.0,0.626165414,Single Family,Single Family
10053,2001,07/01/2002,Sprague,212 HIGH ST,66020.0,145000.0,0.455310345,,
30262,2003,05/28/2004,East Hampton,9 LAKEVIEW ST,109020.0,215000.0,0.507069767,,
210846,2021,05/31/2022,West Hartford,164 NORTH QUAKER LANE,219145.0,370000.0,0.5922,Residential,Single Family
2100386,2021,11/19/2021,Stamford,40 VERPLANK AVENUE,796210.0,1550000.0,0.5136,Residential,Single Family
30854,2003,08/06/2004,Wallingford,123 S MAIN ST,115800.0,260000.0,0.445384615,,
180131,2018,09/24/2019,Thomaston,257 HUMISTON CIRCLE,122920.0,195000.0,0.6303,Single Family,Single Family
180328,2018,02/06/2019,Fairfield,248 CATAMOUNT ROAD,727370.0,1075000.0,0.6766,Single Family,Single Family
120095,2012,05/24/2013,Wolcott,190 COUNTY RD,109140.0,152500.0,0.715672131,Single Family,Single Family
60266,2006,04/27/2007,Wethersfield,216 THORNBUSH RD,190200.0,289900.0,0.656088306,Single Family,Single Family
52132,2005,07/24/2006,Stamford,45 DAGMAR RD,187320.0,560000.0,0.3345,,
20561,2002,03/26/2003,West Hartford,30 OUTLOOK AVE UT 308,60500.0,100000.0,0.605,,
120264,2012,05/20/2013,Groton,37 DONNA DR,120260.0,130000.0,0.925076923,Single Family,Single Family
210153,2021,10/22/2021,Bridgeport,1192-1198 EAST MAIN ST,30110.0,60000.0,0.5018,Vacant Land,
130061,2013,10/31/2013,Bristol,80 ATKINS AVE,97580.0,160000.0,0.609875,Single Family,Single Family
800022,2008,10/31/2008,Newtown,9 FOX RUN LANE SOUTH,305780.0,420000.0,0.728047619,Single Family,Single Family
40625,2004,08/22/2005,Newington,42 RIVER CAMP DR,78750.0,212500.0,0.370588235,,
210068,2021,12/22/2021,Weston,9 CARTBRIDGE ROAD,490850.0,1040000.0,0.4719,Residential,Single Family
