Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Sale Year,Sale Month,Sale Amount_Log,Sale Amount_Scaled,Is_Undervalued,Property Type_Commercial,Property Type_Condo,Property Type_Four Family,Property Type_Industrial,Property Type_Residential,Property Type_Single Family,Property Type_Three Family,Property Type_Two Family,Property Type_Unspecified,Property Type_Vacant Land,Residential Type_Four Family,Residential Type_Non-Residential,Residential Type_Single Family,Residential Type_Three Family,Residential Type_Two Family
80099,2008,2009-04-24,Colchester,LEBANON AVE,61500.0,60000.0,1.025,2009,4,11.002116507732017,-1.4691447268261084,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
20723,2002,2003-07-23,New Milford,2 SUNSET LN,154770.0,247000.0,0.62659919,2003,7,12.417147664184915,0.07360307085804982,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
15014,2015,2015-10-16,Ansonia,193 NORTH STATE STREET,93400.0,125000.0,0.7472,2015,10,11.736077016252437,-0.6689390543620233,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
20736,2002,2003-01-26,Stamford,44 STRAWBERRY HL AVE 9D,67270.0,199000.0,0.338040201,2003,1,12.201065128819632,-0.16198245249427365,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
50185,2005,2006-07-27,Old Lyme,53 BOUGHTON RD,190000.0,410000.0,0.463414634,2006,7,12.923914877701906,0.6261096351316396,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
90508,2009,2010-06-09,Fairfield,34 HERMAN COURT,455980.0,815000.0,0.559484663,2010,6,13.610944619216111,1.375148704576213,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
60090,2006,2007-05-24,Weston,17 LORDS HWY,675710.0,950000.0,0.711273684,2007,5,13.764218316207748,1.54225644450012,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
10553,2001,2002-05-14,Middletown,137 TROLLEY XING,30770.0,66000.0,0.466212121,2002,5,11.097425172408931,-1.3652337762721227,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
20207,2002,2002-11-26,Fairfield,305 MIDDLEBROOK DR,220080.0,340000.0,0.647294118,2002,11,12.73670383776449,0.4220014653231367,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
151452,2015,2016-03-07,Shelton,35 MULBERRY LANE,319270.0,415000.0,0.769325301,2016,3,12.936036208848487,0.6393250027552504,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
19045,2019,2019-12-05,Darien,30 KENSETT LANE,979930.0,1333000.0,0.7351,2019,12,14.102943349348111,1.9115538246424237,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
161219,2016,2016-12-27,Killingly,67 KENNETH DR,113120.0,165400.0,0.683917775,2016,12,12.016128107502665,-0.3636113573038456,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
20158,2002,2003-07-16,Haddam,354 SAYBROOK RD,75760.0,89000.0,0.851235955,2003,7,11.39640288460621,-1.0392711959108365,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
50102,2005,2005-11-01,Middletown,275 COLEMAN RD,100580.0,262500.0,0.383161905,2005,11,12.478010170530368,0.13995885192887533,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
70025,2007,2007-10-31,Griswold,31 RICHARDSON HILL RD,140280.0,229000.0,0.612576419,2007,10,12.34148164933907,-0.00889234080170796,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
10058,2001,2001-11-08,Avon,37 RIVER MEAD,103150.0,204500.0,0.504400978,2001,11,12.228328144428588,-0.1322587555303298,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
200562,2020,2021-02-03,Danbury,19  MILL RD,263600.0,415000.0,0.635180723,2021,2,12.936036208848487,0.6393250027552504,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
210431,2021,2021-12-22,Danbury,8 HIGHLAND AV,223200.0,377500.0,0.5912,2021,12,12.841328496674329,0.5360692449480191,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
10269,2001,2002-02-15,Branford,2-3 FOXWOOD XING,69300.0,124500.0,0.556626506,2002,2,11.732069026983156,-0.6733087932120323,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2002224,2020,2021-07-28,Stamford,0 SUMMER STREET # 124-3C,156640.0,245000.0,0.6393,2021,7,12.409017571151187,0.06473917901683268,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11228,2011,2012-08-30,Wilton,260 RIVERGATE DR,525910.0,562500.0,0.934951111,2012,8,13.240148190836909,0.9708852573280758,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
17076,2017,2018-05-21,New Hartford,770 LITCHFIELD TPKE,148470.0,215000.0,0.69055814,2018,5,12.278397958261774,-0.07766978434807215,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
150005,2015,2015-10-26,Bozrah,GOSHEN RD,2120.0,3300.0,0.642424242,2015,10,8.101980731853192,-4.631038414338725,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
90003,2009,2009-10-23,Weston,33 SLUMBER CORNERS,466700.0,925999.0,0.503996225,2009,10,13.738629513628316,1.514358070217146,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
