Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Sale Year,Sale Month,Sale Amount_Log,Sale Amount_Scaled,Is_Undervalued,Property Type_Commercial,Property Type_Condo,Property Type_Four Family,Property Type_Industrial,Property Type_Residential,Property Type_Single Family,Property Type_Three Family,Property Type_Two Family,Property Type_Unspecified,Property Type_Vacant Land,Residential Type_Four Family,Residential Type_Non-Residential,Residential Type_Single Family,Residential Type_Three Family,Residential Type_Two Family
18364,2018,2019-09-03,North Haven,67 MONTOWESE AVE,148960.0,202000.0,0.7374,2019,9,12.216027926866138,-0.14566915534306127,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
21218,2021,2022-04-25,Bethel,526 COPPER SQUARE DRIVE,212730.0,382000.0,0.5568,2022,4,12.853178505386332,0.5489888013546831,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80487,2008,2009-07-31,Fairfield,245 UNQUOWA ROAD #109,206220.0,325000.0,0.634523077,2009,7,12.691583538230217,0.37280873736099124,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
70264,2007,2008-08-15,Darien,248 NOROTON AVE,423430.0,1137100.0,0.3723771,2008,8,13.943992599042556,1.7382566369049868,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
200945,2020,2021-05-27,New Haven,86 OAK RDIGE DR # 38,26670.0,75000.0,0.3556,2021,5,11.225256725762893,-1.2258645146752774,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10173,2001,2002-08-21,Bethany,29 MESA DR,54640.0,153750.0,0.355382114,2002,8,11.943089689712654,-0.4432420125569306,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
120814,2012,2013-06-12,Norwalk,31 STUART AVE B16,149940.0,135000.0,1.110666667,2013,6,11.813037464800539,-0.5850323771380432,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
130146,2013,2014-08-05,Oxford,30 PUNKUP RD,228600.0,329000.0,0.694832827,2014,8,12.703816069256566,0.3861453414456035,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
201358,2020,2021-07-06,Milford,75 AUDUBON CLOSE,163310.0,365000.0,0.4474,2021,7,12.807655372286902,0.4993568812287142,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19138,2019,2019-11-04,Hartford,14 ESSEX ST #005E,15680.0,61450.0,0.2552,2019,11,11.025995388254772,-1.4431106072453148,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42511,2004,2005-07-21,Waterbury,108 OVERTON AVE,87850.0,200000.0,0.43925,2005,7,12.206077645517674,-0.1565175204597429,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
20039,2002,2003-03-03,Chester,34 KINGS HWY,95000.0,217500.0,0.436781609,2003,3,12.289958727201455,-0.06506557366345599,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
160495,2016,2017-08-07,Southbury,341 A HERITAGE VILLAGE,102870.0,170000.0,0.605117647,2017,8,12.043559598368038,-0.3337039789915318,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
140373,2014,2015-09-04,East Lyme,11 BRIGHTWATER RD,251230.0,368000.0,0.682690217,2015,9,12.815840934538679,0.5082812487800202,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
70209,2007,2007-12-24,Hartford,126-128 VINE ST,59363.0,230000.0,0.2581,2007,12,12.345838935721968,-0.0041417782855111525,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
160394,2016,2017-03-15,Bristol,89 JUDD ST,116690.0,100000.0,1.1669,2017,3,11.51293546492023,-0.9122207201541292,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
200188,2020,2021-01-19,New Canaan,24 DOUGLAS RD,1309140.0,2115000.0,0.6189,2021,1,14.564565843275641,2.414841036814753,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
18069,2018,2018-12-17,Montville,320 CHESTERFIELD RD,159430.0,240000.0,0.6642,2018,12,12.388398368982115,0.042258946980047875,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
40041,2004,2004-10-20,Wethersfield,334 SILAS DEANE HWY,125900.0,175000.0,0.719428571,2004,10,12.072546967175038,-0.3021002936707371,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
15000075,2015,2016-08-24,Sterling,73 CHURCH ST,89860.0,39000.0,2.304102564,2016,8,10.571342565808699,-1.9387990854395505,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
90094,2009,2009-12-01,Shelton,27 SPRUCE HILL RD,270130.0,291000.0,0.928281787,2009,12,12.581081982573842,0.2523336291966707,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
20127,2002,2003-03-03,Old Saybrook,8 PRATT RD,107300.0,335000.0,0.320298507,2003,3,12.721888795877375,0.4058492603771776,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
180003,2018,2018-10-01,Fairfield,205 AUTUMN RIDGE ROAD,302470.0,325000.0,0.9306,2018,10,12.691583538230217,0.37280873736099124,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
100023,2010,2010-11-05,Vernon,565-1B5 TALCOTTVILLE RD,54400.0,77000.0,0.706493506,2010,11,11.251573687764477,-1.1971722593955736,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20376,2002,2003-03-10,Shelton,34 WOODLAND PARK,55650.0,120000.0,0.46375,2003,3,11.695255355062795,-0.713445161249449,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
60209,2006,2007-09-27,Haddam,113 SILVERSPRING DR,75770.0,135000.0,0.561259259,2007,9,11.813037464800539,-0.5850323771380432,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
120218,2012,2013-01-31,Meriden,65 MELVILLE AVE,97160.0,159800.0,0.608010013,2013,1,11.98168457011701,-0.40116366928217256,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
40618,2004,2005-02-28,Meriden,96 CURTIS ST,115010.0,302000.0,0.380827815,2005,2,12.618185607609803,0.292786120683725,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
70270,2007,2007-12-19,Norwalk,166 ROWAYTON AVE #2,1123920.0,1845000.0,0.609170732,2007,12,14.427990377462038,2.2659386623753117,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
170177,2017,2018-03-20,East Lyme,8 HONEYSUCKLE LANE,201530.0,315000.0,0.6397,2018,3,12.660331092405904,0.3387355356877763,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
210512,2021,2022-03-01,Hamden,43 DESSA D,182140.0,365000.0,0.499,2022,3,12.807655372286902,0.4993568812287142,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
110498,2011,2012-03-01,Waterbury,177 BEECHER AVE,102580.0,35000.0,2.930857143,2012,3,10.463131911491967,-2.056776522100082,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
124654,2012,2013-02-20,Manchester,330 OAK STREET,100900.0,123000.0,0.820325203,2013,2,11.719947764402805,-0.6865240860808223,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
15277,2015,2016-07-18,Darien,128 HOLMES AVENUE,691880.0,1190000.0,0.581411765,2016,7,13.989464705423494,1.7878329247876537,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
70380,2007,2008-06-03,Wallingford,19 NORTH ST,145320.0,276611.0,0.525358717,2008,6,12.530371081219677,0.19704570777815666,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
70117,2007,2007-12-19,Trumbull,196 STERLING RD,257800.0,95000.0,2.713684211,2007,12,11.461642696843066,-0.9681430259120671,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020193,2020,2021-01-27,Wilton,38 TIMBER TOP TR,433930.0,720000.0,0.6026,2021,1,13.487007879880162,1.2400257917055266,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
30234,2003,2004-07-30,Old Lyme,2 DEER RDG,166000.0,449900.0,0.368970882,2004,7,13.016782837542952,0.7273595898530171,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
160270,2016,2017-09-18,New Fairfield,48 FLEETWOOD DR,238200.0,325000.0,0.732923077,2017,9,12.691583538230217,0.37280873736099124,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
51996,2005,2006-07-07,Stamford,75 SAWMILL RD,351050.0,1025000.0,0.342487805,2006,7,13.840204146163925,1.625100536861982,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
200459,2020,2021-02-09,Meriden,148 AVERY AVE,145320.0,320000.0,0.454125,2021,2,12.676079399771027,0.3559052399688453,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
30328,2003,2004-02-03,Shelton,15 HUNTINGTON AVE,104160.0,215000.0,0.484465116,2004,2,12.278397958261774,-0.07766978434807215,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
40966,2004,2005-06-02,Bristol,466 HILL ST,85880.0,389900.0,0.220261606,2005,6,12.873648139727594,0.5713059660018164,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
20236,2002,2003-09-03,Weston,114 OLD REDDING RD,385070.0,815000.0,0.472478528,2003,9,13.610944619216111,1.375148704576213,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
150177,2015,2016-03-11,South Windsor,21-5 ARTHUR DR,89000.0,90000.0,0.988888889,2016,3,11.407576060361786,-1.0270895614560442,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50499,2005,2006-03-31,Norwich,130 VERGASON AVE,201000.0,389000.0,0.516709512,2006,3,12.871337193291366,0.5687864401886924,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
40919,2004,2005-06-30,Hamden,20 ELIOT DRIVE,81830.0,201000.0,0.407114428,2005,6,12.211065162153215,-0.15107984492143003,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
15260,2015,2016-07-26,Monroe,139 PEPPER ST,217600.0,169050.0,1.287193138,2016,7,12.037955723528178,-0.3398136434524636,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
15015,2015,2016-01-11,Norfolk,188 OLD GOSHEN RD.,219960.0,270000.0,0.814666667,2016,1,12.506180941677357,0.1706722358341637,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
162031,2016,2017-09-20,Stamford,1611 WASHINGTON BOULEVARD # 16,192820.0,364000.0,0.529725275,2017,9,12.804911893867851,0.49636578434036416,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60115,2006,2007-06-05,Woodstock,1511 ROUTE 197,144200.0,225000.0,0.640888889,2007,6,12.323860125621124,-0.028104332554487865,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
20647,2020,2021-04-09,Watertown,104 CUTLER ST,122300.0,112000.0,1.0919,2021,4,11.626263078808801,-0.7886644818719549,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
8017,2008,2008-11-03,North Haven,18 PARK RD,158760.0,242500.0,0.654680412,2008,11,12.398761113062513,0.05355700252821958,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
160058,2016,2016-10-18,Norwalk,259 ELY AVE,134670.0,900000.0,0.149633333,2016,10,13.710151153416941,1.4833093351434334,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
90170,2009,2009-11-16,Waterbury,113 EAST FARM ST,87930.0,25000.0,3.5172,2009,11,10.12667110305036,-2.4236053151363435,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
40146,2004,2005-08-29,Prospect,5 MAPLE DR,118230.0,285000.0,0.414842105,2005,8,12.560247968016562,0.22961919642351916,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
11352,2001,2002-08-21,Stratford,230 HOLLISTER ST,72580.0,70000.0,1.036857143,2002,8,11.156264806643742,-1.3010834459289773,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
150190,2015,2016-05-13,Plainville,50 PIERCE ST C-40,70210.0,85000.0,0.826,2016,5,11.350418300109132,-1.0894062167100418,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40206,2004,2005-04-04,Rocky Hill,64 GLASTONBURY AVE,70490.0,150000.0,0.469933333,2005,4,11.918397239722838,-0.47016313204429705,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
201030,2020,2021-03-29,Norwalk,15 PINE POINT RD UNIT 340,46900.0,95000.0,0.4936,2021,3,11.461642696843066,-0.9681430259120671,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
120016,2012,2013-05-30,Hampton,101 PARKER RD,119990.0,110000.0,1.090818182,2013,5,11.608244735642321,-0.8083091088550706,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
200666,2020,2021-04-14,New Haven,423 SMITH AV,62650.0,204000.0,0.3071,2021,4,12.225880174775122,-0.13492767188207147,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
140723,2014,2015-04-01,Waterbury,65 DALTON AVE,65610.0,69000.0,0.950869565,2015,4,11.141876276228,-1.3167706437052025,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
200220,2020,2021-02-02,Farmington,1660-8 FARMINGTON AV,55430.0,93000.0,0.596,2021,2,11.440365524765754,-0.9913406143280735,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
150174,2015,2015-12-16,New Haven,291 EDWARDS STREET,545860.0,565000.0,0.966123894,2015,12,13.244582780038515,0.9757200997930021,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020256,2020,2021-06-25,Ansonia,9 EAGLE ST,83100.0,257000.0,0.3233,2021,6,12.45683525492037,0.11687274935473681,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
210798,2021,2022-05-06,Southington,16 SALEM WAY,163290.0,358000.0,0.4561,2022,5,12.788291058675025,0.47824480038006645,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
110024,2011,2011-11-04,Cheshire,1708 BYAM RD,99220.0,20201.0,4.911638038,2011,11,9.91353688838913,-2.6559764108399873,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
20498,2002,2003-09-26,Rocky Hill,11 MURPHY DR,84250.0,115000.0,0.732608696,2003,9,11.652696102959753,-0.7598456890071836,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
150541,2015,2016-09-21,Branford,17 WAVERLY RD,145100.0,250000.0,0.5804,2016,9,12.429220196836383,0.08676523557476842,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
200579,2020,2021-09-03,Windsor,29 BECKER CIR,97440.0,110000.0,0.8858,2021,9,11.608244735642321,-0.8083091088550706,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
200732,2020,2021-05-03,West Hartford,28 JUNIPER LANE,296590.0,701000.0,0.423,2021,5,13.460264592549233,1.2108687321987608,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
160962,2016,2017-06-13,Waterbury,84 BLUEBERRY HILL RD,117220.0,189900.0,0.617272249,2017,6,12.154258162715948,-0.21301408069795957,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
30399,2003,2004-01-28,Greenwich,3 HILL RD,1189790.0,700000.0,1.6997,2004,1,13.458837042595949,1.209312335693659,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
130319,2013,2014-05-12,Shelton,47 ORONOQUE TRAIL,165970.0,280000.0,0.59275,2014,5,12.54254845357358,0.21032217472723622,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
150137,2015,2016-03-17,Bloomfield,15 SPRING HILL LN,160020.0,239500.0,0.668141962,2016,3,12.386312871189734,0.03998521815676476,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
51113,2005,2006-07-28,West Hartford,18 BRAINTREE DR,207820.0,602500.0,0.344929461,2006,7,13.308844604096606,1.0457820112135985,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
160201,2016,2017-03-31,Westport,119 OLD RD,650300.0,1072500.0,0.606340326,2017,3,13.885503862184807,1.6744888749266493,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
167461,2016,2017-07-13,Bridgeport,1150 HOWARD AVE,124810.0,280000.0,0.44575,2017,7,12.54254845357358,0.21032217472723622,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
90257,2009,2010-02-08,Manchester,244-F OAKLAND ST,141700.0,166500.0,0.851051051,2010,2,12.022756594390605,-0.3563846022591136,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50545,2005,2006-01-09,Norwalk,57 CLINTON AVE,279930.0,530450.0,0.527721746,2006,1,13.181482867077458,0.9069249702223173,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
21452,2002,2002-12-23,Hartford,38 LORRAINE ST,5390.0,4000.0,1.3475,2002,12,8.294299608857235,-4.421361388784868,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
40176,2004,2004-10-18,Bridgeport,202-204 SHERIDAN ST,118931.0,289000.0,0.411525952,2004,10,12.574185427296195,0.24481461068059218,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
40228,2004,2005-04-21,Cromwell,13 WINCHESTER WAY,263940.0,467500.0,0.56457754,2005,4,13.055156766746023,0.7691970395067255,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
31095,2003,2004-03-04,Stamford,26 MAPLEWOOD PL,149870.0,320000.0,0.46834375,2004,3,12.676079399771027,0.3559052399688453,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
151510,2015,2016-09-27,Waterbury,55 MEDIA AVE,83460.0,150000.0,0.5564,2016,9,11.918397239722838,-0.47016313204429705,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
30008,2003,2003-10-24,Woodbridge,15 FORD RD,139650.0,227000.0,0.615198238,2003,10,12.33270970174018,-0.018456019154565483,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
40182,2004,2005-04-12,Wilton,20 SUGARBUSH CT,399770.0,595000.0,0.671882353,2005,4,13.296318365198623,1.0321251900298363,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
60207,2006,2007-05-14,Berlin,462 ALLING ST,336700.0,520000.0,0.6475,2007,5,13.161586013632684,0.8852322840275375,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
90006,2009,2009-10-06,Montville,10 CAROLINA DR #29,92480.0,97500.0,0.948512821,2009,10,11.487617913343598,-0.939823361099161,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
180050,2018,2018-10-18,West Hartford,55 WALTER AVENUE,147070.0,231000.0,0.6366,2018,10,12.35017731849889,0.0005881744396180632,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
200595,2020,2020-12-15,Norwalk,17 WILLOW ST,304300.0,450000.0,0.6762,2020,12,13.017005083966255,0.7276018955991003,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
160181,2016,2017-02-13,Trumbull,24 WILDROSE LN,524790.0,650000.0,0.807369231,2017,2,13.384729180332174,1.1285157109853288,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
900701,2009,2010-07-28,Bristol,272 SUNNYDALE AVE,188720.0,236500.0,0.797970402,2010,7,12.373707715234994,0.02624235708974266,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
60656,2006,2007-04-27,New Britain,37 TRINITY ST,77140.0,250000.0,0.30856,2007,4,12.429220196836383,0.08676523557476842,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
91289,2009,2010-07-27,Bridgeport,900 PEARL HARBOR ST,64670.0,79806.0,0.810340075,2010,7,11.287366498889032,-1.1581488921124448,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
40266,2004,2004-11-09,Norwalk,15 MORTON ST,155330.0,71250.0,2.180070175,2004,11,11.173964133120124,-1.2817866291646174,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
200418,2020,2021-01-26,Meriden,312 BROAD ST,156310.0,270000.0,0.5789,2021,1,12.506180941677357,0.1706722358341637,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
20110,2002,2002-12-16,Seymour,32 BROOKFIELD RD,176540.0,405000.0,0.435901235,2002,12,12.91164481522143,0.6127321121118277,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
10389,2001,2002-08-21,Killingly,620 N MAIN ST,75720.0,169000.0,0.448047337,2002,8,12.037659911047466,-0.34013615511665146,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
60211,2006,2007-07-09,Mansfield,26 RIVERVIEW RD,103110.0,218000.0,0.472981651,2007,7,12.292254928916668,-0.0625621233874471,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
60114,2006,2006-10-13,Bridgeport,48 VIRGINIA AVE,69901.0,159000.0,0.439628931,2006,10,11.976665770490767,-0.406635451323928,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20200582,2020,2021-02-18,Stratford,164 RYAN AVENUE,104040.0,178000.0,0.5844,2021,2,12.08954444723597,-0.28356866996012153,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
180237,2018,2018-12-31,Hamden,65 LYNMOOR PL,101080.0,168000.0,0.6016,2018,12,12.031725210748633,-0.3466065043907215,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
140413,2014,2015-01-09,Waterbury,72 DALLAS AVE #14,29243.0,7500.0,3.899066667,2015,1,8.922791623969635,-3.7361434925179964,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
111081,2011,2012-05-31,Stratford,160 CAMBRIDGE ST,185990.0,260000.0,0.715346154,2012,5,12.468440756144114,0.12952572973068427,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
80615,2008,2009-07-29,West Hartford,11 TROTWOOD DR,242300.0,329000.0,0.736474164,2009,7,12.703816069256566,0.3861453414456035,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
30152,2003,2004-04-26,North Branford,123 MILL RD,55300.0,105000.0,0.526666667,2004,4,11.561725152903833,-0.859027415297801,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
180068,2018,2019-01-29,Putnam,43 NICHOLS ST,87000.0,167000.0,0.520958084,2019,1,12.025755079404915,-0.35311548261385384,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
90787,2009,2010-09-02,Fairfield,33 HOWARD STREET,367570.0,412500.0,0.891078788,2010,9,12.929993908996359,0.6327373423017627,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
50037,2005,2006-02-01,Easton,5 POND RD,204410.0,365000.0,0.560027397,2006,2,12.807655372286902,0.4993568812287142,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
20575,2002,2003-08-08,Windsor,87 TIMOTHY TER,95340.0,220000.0,0.433363636,2003,8,12.301387370778713,-0.05260541359635967,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
70138,2007,2007-11-20,Meriden,1604 WINDING BROOK,139700.0,197000.0,0.709137056,2007,11,12.190964083849373,-0.17299518872351638,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40103,2004,2005-07-01,Goshen,LYMAN LN,40250.0,295000.0,0.136440678,2005,7,12.59473402514672,0.26721786585616064,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
16034,2016,2016-12-29,New Hartford,69/85 BRUNING ROAD,700070.0,650000.0,1.077030769,2016,12,13.384729180332174,1.1285157109853288,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
200135,2020,2020-12-15,Vernon,11 HAMMOND ST,101660.0,165500.0,0.6142,2020,12,12.016732516077072,-0.36295239655035544,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
110022,2011,2011-10-25,South Windsor,601 DZEN WAY,266950.0,365000.0,0.731369863,2011,10,12.807655372286902,0.4993568812287142,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
33993,2003,2004-07-30,New Haven,31 LINES ST,72800.0,145000.0,0.502068966,2004,7,11.884495917930654,-0.5071242896096041,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
170467,2017,2018-04-23,West Hartford,36 ROBIN ROAD #101,135450.0,205000.0,0.6607,2018,4,12.230770136157428,-0.12959635665349134,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
90255,2009,2010-02-09,Fairfield,129 HILLSIDE ROAD,558810.0,740000.0,0.755148649,2010,2,13.51440681653079,1.2698976775533295,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
17890,2017,2018-09-24,Hartford,44 EAST BURNHAM ST,31605.0,111000.0,0.28472973,2018,9,11.6172944892629,-0.7984425505082358,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
40351,2004,2005-08-15,Seymour,22 PATRICK DR,242760.0,495000.0,0.490424242,2005,8,13.112315061750806,0.8315142777780407,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
210709,2021,2022-01-06,Waterbury,63 HAWTHRONE AVE,96320.0,300000.0,0.321,2022,1,12.611541086966115,0.28554188472258024,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
70248,2007,2008-07-02,East Hampton,19 FOREST GLEN DR,97830.0,252400.0,0.387599049,2008,7,12.438774371606481,0.09718174267289292,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30291,2003,2004-07-20,Ansonia,85 JEWETT ST,79300.0,179000.0,0.44301676,2004,7,12.095146671399466,-0.277460805160853,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
170040,2017,2017-11-29,Oxford,83 BOWERS HILL RD,232900.0,365000.0,0.638082192,2017,11,12.807655372286902,0.4993568812287142,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
50315,2005,2006-02-13,Glastonbury,226 MANCHESTER RD,151300.0,285000.0,0.530877193,2006,2,12.560247968016562,0.22961919642351916,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
8620,2008,2009-08-12,Meriden,302-304 COOK AVE,188840.0,176000.0,1.072954545,2009,8,12.07824495582233,-0.29588802096087385,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
210078,2021,2022-03-01,Old Lyme,4 MEETING HOUSELA,432600.0,912500.0,0.474,2022,3,13.723944460328594,1.4983475862545093,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
130175,2013,2013-12-10,Fairfield,3473 REDDING ROAD,451570.0,714000.0,0.63245098,2013,12,13.478639641880964,1.2309022606193831,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
210046,2021,2021-10-20,South Windsor,238 GRAHAM RD,148300.0,320000.0,0.4634,2021,10,12.676079399771027,0.3559052399688453,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
11524,2001,2002-05-20,Stamford,1 STRAWBERRY HL,125790.0,375000.0,0.33544,2002,5,12.834683971615659,0.5288250041734087,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
40553,2004,2004-12-23,Norwalk,22 LAKEVIEW DR,215040.0,385000.0,0.558545455,2004,12,12.861001210669144,0.5575175615109215,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
30130,2003,2003-11-07,Greenwich,39 BIRCH LN,769510.0,1280000.0,0.601179688,2003,11,14.062371417145494,1.8673199865619388,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
180614,2018,2019-04-30,Bristol,204 COUNTRY LN,139160.0,259000.0,0.5372,2019,4,12.464587201678082,0.1253243645249676,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
100731,2010,2011-09-27,Danbury,38 PADANARAM AV #22,135200.0,119500.0,1.131380753,2011,9,11.691080018519525,-0.7179973516569498,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
